scenario_key,scenario_label,policy_key,policy_label,repetitions,seed_batches,bridge_budget,completed_repetitions,budget_completion_rate,mean_selected_bridge_count,planning_inconsistency_rate,evaluation_inconsistency_rate,finite_final_diameter_repetitions,mean_initial_diameter,mean_final_diameter,mean_diameter_shrinkage,shrinkage_fraction,mean_initial_oracle_hull_distance,mean_final_oracle_hull_distance,mean_selected_measurement_absolute_error,mean_selection_error,between_seed_final_diameter_sd,seed_batch,base_seed
supported,supported target,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.4045521382603807,2.3161443384384075,1.0884077998219732,0.31969191706316924,3.132459232799858e-06,2.1871290694321975e-05,0.07723572788031131,0.0058989255523882326,,0,20261111
supported,supported target,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.37201940184228,2.3171441029691304,1.0548752988731498,0.31283191855207765,3.4331061685165345e-05,1.5993263028036003e-06,0.07710378037156501,0.005508227112865439,,1,20261112
supported,supported target,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.2741149966554572,2.2944682550928714,0.9796467415625858,0.29920963147699614,7.154961845231246e-05,7.194775285655101e-07,0.08135127600950903,0.005590486317909854,,2,20261113
supported,supported target,semantic_greedy,semantic-only greedy,100,1,4,99,0.99,3.97,0.01,0.0,100,3.4045521382603807,2.818958720340475,0.5855934179199056,0.17200306946073837,3.132459232799858e-06,1.0504840730360536e-06,0.07733788539354441,0.006672601051136983,,0,20261111
supported,supported target,semantic_greedy,semantic-only greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.37201940184228,2.782573452981328,0.589445948860952,0.174805028861611,3.4331061685165345e-05,2.9355489899982407e-05,0.07650600594532825,0.006775711487822686,,1,20261112
supported,supported target,semantic_greedy,semantic-only greedy,100,1,4,100,1.0,4.0,0.01,0.0,100,3.2741149966554572,2.7356031132222016,0.5385118834332556,0.16447555567942823,7.154961845231246e-05,1.1505640689402332e-07,0.07999545167503935,0.006545718730521041,,2,20261113
supported,supported target,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.4045521382603807,2.6387212093557544,0.7658309289046263,0.2249432224280583,3.132459232799858e-06,4.077419156823877e-08,0.0789145628663019,,,0,20261111
supported,supported target,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.37201940184228,2.649739129422972,0.722280272419308,0.21419813658981174,3.4331061685165345e-05,5.729581800329087e-06,0.07813530155169804,,,1,20261112
supported,supported target,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.2741149966554572,2.623523540876588,0.6505914557788692,0.19870757638123743,7.154961845231246e-05,2.2125542225613494e-06,0.07782054414086638,,,2,20261113
moderate,moderate mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.8392263904409476,2.0592865219654626,1.779939868475485,0.4636194085629457,0.12833353723521265,0.006348796112203241,0.08145562028884643,0.0052645679734493874,,0,20261111
moderate,moderate mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.7900120498632672,2.0732927657863045,1.7167192840769627,0.45295879313599996,0.12851059924585473,0.00587754900960263,0.0769001401907552,0.00500701903240534,,1,20261112
moderate,moderate mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,3.730879279634865,2.069721680365673,1.6611575992691918,0.44524560425652976,0.11706228431285544,0.0034290185472713327,0.0801514875574172,0.005458604763410436,,2,20261113
moderate,moderate mismatch,semantic_greedy,semantic-only greedy,100,1,4,98,0.98,3.97,0.02,0.0,100,3.8392263904409476,2.657748962506629,1.1814774279343188,0.3077384107579606,0.12833353723521265,0.005761223570064517,0.07377410492916467,0.006498243476534821,,0,20261111
moderate,moderate mismatch,semantic_greedy,semantic-only greedy,100,1,4,98,0.98,3.96,0.03,0.0,100,3.7900120498632672,2.6983479752814055,1.0916640745818618,0.28803709862116295,0.12851059924585473,0.010122190808946305,0.07611919068147556,0.006678027234144487,,1,20261112
moderate,moderate mismatch,semantic_greedy,semantic-only greedy,100,1,4,99,0.99,3.97,0.01,0.0,100,3.730879279634865,2.616897343171341,1.113981936463524,0.2985842888415697,0.11706228431285544,0.007004248536838286,0.07824794854629107,0.006529104036081376,,2,20261113
moderate,moderate mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.8392263904409476,2.518197916809527,1.3210284736314204,0.34408715175551186,0.12833353723521265,0.005996669031947741,0.0789145628663019,,,0,20261111
moderate,moderate mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.7900120498632672,2.5458636780669766,1.2441483717962907,0.32827029450768525,0.12851059924585473,0.006807063140948144,0.07813530155169804,,,1,20261112
