scenario_key,scenario_label,policy_key,policy_label,repetitions,seed_batches,bridge_budget,completed_repetitions,budget_completion_rate,mean_selected_bridge_count,planning_inconsistency_rate,evaluation_inconsistency_rate,finite_final_diameter_repetitions,mean_initial_diameter,mean_final_diameter,mean_diameter_shrinkage,shrinkage_fraction,mean_initial_oracle_hull_distance,mean_final_oracle_hull_distance,mean_selected_measurement_absolute_error,mean_selection_error,between_seed_final_diameter_sd
supported,supported target,causal_greedy,causal-support greedy,300,3,4,300,1.0,4.0,0.0,0.0,300,3.35022884558604,2.3092522321668034,1.0409766134192364,0.3107180617797896,3.633771312342589e-05,8.063364841897029e-06,0.07856359475379511,0.005665879661054508,0.012813054509800777
supported,supported target,semantic_greedy,semantic-only greedy,300,3,4,299,0.9966666666666667,3.99,0.006666666666666667,0.0,300,3.35022884558604,2.779045095514668,0.5711837500713717,0.17049096536313094,3.633771312342589e-05,1.017367679330416e-05,0.077946447671304,0.006664677089826904,0.04178966725547588
supported,supported target,random,random bridge,300,3,4,300,1.0,4.0,0.0,0.0,300,3.35022884558604,2.6373279598851047,0.7129008857009351,0.212791698286578,3.633771312342589e-05,2.660970071486225e-06,0.07829013618628877,,0.013163211187773527
moderate,moderate mismatch,causal_greedy,causal-support greedy,300,3,4,300,1.0,4.0,0.0,0.0,300,3.7867059066463593,2.067433656039147,1.7192722506072124,0.4540284598256168,0.12463547359797426,0.005218454556359067,0.0795024160123396,0.005243397256421721,0.00727804973748465
moderate,moderate mismatch,semantic_greedy,semantic-only greedy,300,3,4,295,0.9833333333333333,3.966666666666667,0.02,0.0,300,3.7867059066463593,2.657664760319791,1.1290411463265682,0.29815918483262593,0.12463547359797426,0.007629220971949702,0.07604708138564377,0.006568458248920228,0.040725381340000616
moderate,moderate mismatch,random,random bridge,300,3,4,300,1.0,4.0,0.0,0.0,300,3.7867059066463593,2.5284542120184446,1.2582516946279148,0.33228133518883884,0.12463547359797426,0.006644402613906206,0.07829013618628877,,0.015156664418139015
strong,strong mismatch,causal_greedy,causal-support greedy,300,3,4,300,1.0,4.0,0.0,0.0,300,5.5042305582302955,1.8620169434935099,3.642213614736786,0.6617116736308771,0.6445735111366988,0.020013524895495606,0.07832866829639785,0.0050256032001126895,0.006110583974404412
strong,strong mismatch,semantic_greedy,semantic-only greedy,300,3,4,283,0.9433333333333334,3.8933333333333335,0.06,0.0,300,5.5042305582302955,2.4832172446804424,3.021013313549853,0.5488529743785225,0.6445735111366988,0.03004756328780378,0.07626643076364524,0.005963086938737747,0.014499904185890918
strong,strong mismatch,random,random bridge,300,3,4,300,1.0,4.0,0.0,0.0,300,5.5042305582302955,2.3847553550744864,3.119475203155809,0.566741376502,0.6445735111366988,0.03136814724735375,0.07829013618628876,,0.0472987489747067
severe,severe mismatch,causal_greedy,causal-support greedy,300,3,4,300,1.0,4.0,0.0,0.0,300,6.942297180110519,1.8771660763428437,5.065131103767675,0.7296044770712394,1.0014622607618413,0.031551214187649924,0.07885143430749375,0.0048713672361753516,0.00807677510757253
severe,severe mismatch,semantic_greedy,semantic-only greedy,300,3,4,290,0.9666666666666667,3.93,0.03666666666666667,0.0,300,6.942297180110519,2.330936017328707,4.6113611627818125,0.6642413949079029,1.0014622607618413,0.02737548007872002,0.07996655224936824,0.006206200264980838,0.02062997415334641
severe,severe mismatch,random,random bridge,300,3,4,300,1.0,4.0,0.0,0.0,300,6.942297180110519,2.3167136103513597,4.62558356975916,0.6662900549707557,1.0014622607618413,0.04012037932289797,0.07829013618628876,,0.04543883770884462
