scenario_key,scenario_label,policy_key,repetitions,seed_batches,released_repetitions,release_rate,release_ci_lower,release_ci_upper,mean_raw_mae,released_mae,released_interval_coverage,released_interval_uncovered_rate,released_above_tolerance_rate,overall_interval_coverage,mean_certificate_radius,between_seed_release_sd,between_seed_released_coverage_sd,seed_batch,base_seed
nominal,nominal certified setting,certified_atlas,100,1,36,0.36,0.2727107459049014,0.45764780018837914,0.14420970703714983,0.12252322589556568,1.0,0.0,0.0,1.0,1.6907469172051912,,,0,20260831
nominal,nominal certified setting,certified_atlas,100,1,43,0.43,0.3373313900052838,0.5278478830413564,0.1601179889298047,0.13517070045342658,1.0,0.0,0.0,1.0,1.6971646670160814,,,1,20260901
nominal,nominal certified setting,certified_atlas,100,1,49,0.49,0.3942183009238615,0.5865215952256586,0.13110166314176433,0.10049219865931988,1.0,0.0,0.0,1.0,1.6901499541280822,,,2,20260902
nominal,nominal certified setting,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.14420970703714983,0.14420970703714983,1.0,0.0,0.64,1.0,1.6907469172051912,,,0,20260831
nominal,nominal certified setting,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.1601179889298047,0.1601179889298047,1.0,0.0,0.57,1.0,1.6971646670160814,,,1,20260901
nominal,nominal certified setting,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.13110166314176433,0.13110166314176433,1.0,0.0,0.51,1.0,1.6901499541280822,,,2,20260902
nominal,nominal certified setting,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.14420970703714983,0.14420970703714983,1.0,0.0,0.0,1.0,0.7633928301865628,,,0,20260831
nominal,nominal certified setting,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.1601179889298047,0.1601179889298047,1.0,0.0,0.0,1.0,0.762188673178606,,,1,20260901
nominal,nominal certified setting,understated_smoothness,100,1,100,1.0,0.9630051925239981,1.0,0.13110166314176433,0.13110166314176433,1.0,0.0,0.0,1.0,0.7621046698456869,,,2,20260902
heterogeneous_hidden_radii,heterogeneous archive hidden radii,certified_atlas,100,1,3,0.03,0.010254338223414816,0.08452078080402699,0.20194530677751474,0.2292858413910842,1.0,0.0,0.0,1.0,2.2373380337960356,,,0,20260831
heterogeneous_hidden_radii,heterogeneous archive hidden radii,certified_atlas,100,1,3,0.03,0.010254338223414816,0.08452078080402699,0.19137436620696754,0.15283357901114816,1.0,0.0,0.0,1.0,2.2506425087059942,,,1,20260901
heterogeneous_hidden_radii,heterogeneous archive hidden radii,certified_atlas,100,1,3,0.03,0.010254338223414816,0.08452078080402699,0.1572982780649448,0.11251078018333631,1.0,0.0,0.0,1.0,2.284886305986728,,,2,20260902
heterogeneous_hidden_radii,heterogeneous archive hidden radii,no_rejection,100,1,100,1.0,0.9630051925239981,1.0,0.20194530677751474,0.20194530677751474,1.0,0.0,0.97,1.0,2.2373380337960356,,,0,20260831
