scenario_key,scenario_label,policy_key,repetitions,seed_batches,released_repetitions,release_rate,release_ci_lower,release_ci_upper,mean_raw_mae,released_mae,released_interval_coverage,released_interval_uncovered_rate,released_above_tolerance_rate,overall_interval_coverage,mean_certificate_radius,between_seed_release_sd,between_seed_released_coverage_sd
nominal,nominal certified setting,certified_atlas,300,3,128,0.4266666666666667,0.37197260006995525,0.4832151029963794,0.14514311970290625,0.11833823426597173,1.0,0.0,0.0,1.0,1.692687179449785,0.06506407098647712,0.0
nominal,nominal certified setting,no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.14514311970290625,0.14514311970290625,1.0,0.0,0.5733333333333334,1.0,1.692687179449785,0.0,0.0
nominal,nominal certified setting,understated_smoothness,300,3,300,1.0,0.9873565700022643,1.0,0.14514311970290625,0.14514311970290625,1.0,0.0,0.0,1.0,0.762562057736952,0.0,0.0
heterogeneous_hidden_radii,heterogeneous archive hidden radii,certified_atlas,300,3,9,0.03,0.015861673205964575,0.05602315099190695,0.18353931701647572,0.16487673352852292,1.0,0.0,0.0,1.0,2.257622282829586,0.0,0.0
heterogeneous_hidden_radii,heterogeneous archive hidden radii,no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.18353931701647572,0.18353931701647572,1.0,0.0,0.97,1.0,2.257622282829586,0.0,0.0
heterogeneous_hidden_radii,heterogeneous archive hidden radii,understated_smoothness,300,3,300,1.0,0.9873565700022643,1.0,0.18353931701647572,0.18353931701647572,1.0,0.0,0.0,1.0,0.9790863892935128,0.0,0.0
strong_semantic_mismatch,strong semantic mismatch,certified_atlas,300,3,13,0.043333333333333335,0.025496203603204263,0.07271812912806098,0.5546346615640148,0.23536473620144435,1.0,0.0,0.0,1.0,3.1615178673156343,0.020816659994661327,0.0
strong_semantic_mismatch,strong semantic mismatch,no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.5546346615640148,0.5546346615640148,1.0,0.0,0.9566666666666667,1.0,3.1615178673156343,0.0,0.0
strong_semantic_mismatch,strong semantic mismatch,understated_smoothness,300,3,300,1.0,0.9873565700022643,1.0,0.5546346615640148,0.5546346615640148,0.8333333333333334,0.16666666666666663,0.0,0.8333333333333334,0.9639975902823024,0.0,0.047258156262526066
severe_semantic_mismatch,severe semantic mismatch,certified_atlas,300,3,2,0.006666666666666667,0.0018301100329710784,0.023978074231461442,0.7408072038052431,0.1795441964611364,1.0,0.0,0.0,1.0,3.9966462087633743,0.005773502691896258,0.0
severe_semantic_mismatch,severe semantic mismatch,no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.7408072038052431,0.7408072038052431,1.0,0.0,0.9933333333333333,1.0,3.9966462087633743,0.0,0.0
severe_semantic_mismatch,severe semantic mismatch,understated_smoothness,300,3,300,1.0,0.9873565700022643,1.0,0.7408072038052431,0.7408072038052431,0.7233333333333334,0.2766666666666666,0.0,0.7233333333333334,1.0462772813712236,0.0,0.03055050463303896
