scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
moderate,0,operational,1,2048,128,True,assumption_failed,-10.456391893542852,False,54,0.015619786207935693,1.297211539583075,1.297211539583075,,,
moderate,0,operational,2,2048,128,True,assumption_failed,-10.456391893542852,False,54,0.015619786207935693,1.6558083213117945,1.6558083213117945,,,
moderate,0,operational,3,2048,128,True,assumption_failed,-10.456391893542852,False,54,0.015619786207935693,1.6558083213117945,1.6558083171890772,,,
moderate,0,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.022751250437702097,1.0039208637828247,1.0039208637828247,0.5890965165586433,True,False
moderate,0,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.022751250437702097,1.3168962136393785,1.3168962136393785,0.7414321687341272,True,False
moderate,0,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.022751250437702097,1.3168962136393785,1.3168962136393785,0.695929667858723,True,False
moderate,1,operational,1,2048,128,True,assumption_failed,-503.9726045096643,False,71,0.00391031183729984,0.2689467526165916,0.2689467526165916,,,
moderate,1,operational,2,2048,128,True,assumption_failed,-503.9726045096643,False,71,0.00391031183729984,0.31068936454214713,0.31068936454214713,,,
moderate,1,operational,3,2048,128,True,assumption_failed,-503.9726045096643,False,71,0.00391031183729984,0.31068936454214713,0.29933288262242974,,,
moderate,1,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.004137748152689191,0.09130945630283716,0.09130945630283716,0.04944308823910281,True,False
moderate,1,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.004137748152689191,0.09515034588801452,0.09515034588801452,0.04359549720470553,True,False
moderate,1,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.004137748152689191,0.09515034588801452,0.09515034588801452,0.035320000899327145,True,False
moderate,2,operational,1,2048,128,True,assumption_failed,-0.6079299555648245,False,35,0.006350556731115731,2.3922242784617476,2.3922242784617476,,,
moderate,2,operational,2,2048,128,True,assumption_failed,-0.6079299555648245,False,35,0.006350556731115731,2.56677560987312,2.56677560987312,,,
moderate,2,operational,3,2048,128,True,assumption_failed,-0.6079299555648245,False,35,0.006350556731115731,2.6588226483057413,2.6588226483057413,,,
moderate,2,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.011886972942511509,2.02378194375552,2.02378194375552,1.255500227348861,True,False
moderate,2,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.011886972942511509,2.2458898881482545,2.2458898881482545,1.3721252793936354,True,False
moderate,2,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.011886972942511509,2.2458898881482545,2.2458898881482545,1.3483513335086124,True,False
