scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,0,operational,0,0,0.0,0.0
moderate,0,operational,1,1,1.297211539583075,1.3002949544733524
moderate,0,operational,2,1,1.2795120233827544,1.283078991951037
moderate,0,operational,3,2,1.6558083213117945,1.6554545983913154
moderate,0,operational,4,1,1.1212364370294381e-11,1.1212364370294381e-11
moderate,0,operational,5,2,1.2972114636332557,1.3002948800178689
moderate,0,operational,6,2,1.371593743124659,1.37174461891113
moderate,0,operational,7,3,1.6558075891316237,1.655453881215351
moderate,0,operational,8,1,-8.520739669393151e-12,-8.520739669393151e-12
moderate,0,operational,9,2,1.2972115480826116,1.3002949628187248
moderate,0,operational,10,2,1.279512021343828,1.2830789899501034
moderate,0,operational,11,3,1.6558083171890772,1.6554545943859602
moderate,0,operational,12,2,-5.953593174012894e-11,-5.953593174012894e-11
moderate,0,operational,13,3,1.2972114537948198,1.3002948703965167
moderate,0,operational,14,3,1.3715978224771748,1.3717487265129034
moderate,0,operational,15,4,1.6558084883872914,1.655454759927006
moderate,0,operational,16,1,0.8454074196950216,0.8454074196950216
moderate,0,operational,17,2,1.2361345573090463,1.2468321202514554
moderate,0,operational,18,2,1.2579244531803062,1.2638650565008005
moderate,0,operational,19,3,1.4094954503971584,1.424761513684615
moderate,0,operational,20,2,0.8020284455998787,0.8020284455998787
moderate,0,operational,21,3,1.272858403922049,1.2859264441905753
moderate,0,operational,22,3,1.161698790648468,1.1654063120030433
moderate,0,operational,23,4,1.40059375545875,1.413169158595894
moderate,0,operational,24,2,0.8957281936016912,0.8957281936016912
moderate,0,operational,25,3,1.2564295992485537,1.266681377491365
moderate,0,operational,26,3,1.2849772022101877,1.2910245121458792
moderate,0,operational,27,4,1.4266067904672526,1.4398284553749412
moderate,0,operational,28,3,0.8018645351400409,0.8018645351400409
moderate,0,operational,29,4,1.2727434681159036,1.285811622822672
moderate,0,operational,30,4,1.1615940710283632,1.1653042220971153
moderate,0,operational,31,5,1.400511761424362,1.413095845465842
moderate,0,operational,32,1,0.09639352011969349,0.09786272138358498
moderate,0,operational,33,2,1.2972115368275547,1.3002949517721585
moderate,0,operational,34,2,1.2795119797949637,1.2830789491755112
moderate,0,operational,35,3,1.6558080300299145,1.6554543146759273
moderate,0,operational,36,2,0.09639352011766622,0.09786272138117491
moderate,0,operational,37,3,1.2972114537983885,1.300294870399815
moderate,0,operational,38,3,1.3715925312835888,1.3717433986858087
moderate,0,operational,39,4,1.6558084191908775,1.6554546927905829
moderate,0,operational,40,2,0.09639352012115676,0.09786272138506869
moderate,0,operational,41,3,1.2972115397112205,1.3002949545811666
moderate,0,operational,42,3,1.2795119797659074,1.2830789491469434
moderate,0,operational,43,4,1.6558084386932839,1.655454710813126
moderate,0,operational,44,3,0.09639352011985691,0.0978627213834189
moderate,0,operational,45,4,1.2972114938254848,1.3002949094545335
moderate,0,operational,46,4,1.3715943423233066,1.3717452222577453
moderate,0,operational,47,5,1.6558084213357103,1.6554546952826708
moderate,0,operational,48,2,1.0486804853792888,1.0486804853792888
moderate,0,operational,49,3,1.3225006385510993,1.3322182598843697
moderate,0,operational,50,3,1.360051389903687,1.3644338900195403
moderate,0,operational,51,4,1.4858746808788528,1.4932748647197864
moderate,0,operational,52,3,0.9157776617047189,0.9157776617047189
moderate,0,operational,53,4,1.311192799255648,1.3239012167165654
moderate,0,operational,54,4,1.2226848019274184,1.2250695047761004
moderate,0,operational,55,5,1.4285147800165752,1.439465056687843
moderate,0,operational,56,3,1.0548817907890191,1.0548817907890191
moderate,0,operational,57,4,1.3238415071284124,1.3335678670304891
moderate,0,operational,58,4,1.3638910563211426,1.3680533649200037
moderate,0,operational,59,5,1.4876036897040579,1.4949103533282635
moderate,0,operational,60,4,0.9158337360095752,0.9158337360095752
moderate,0,operational,61,5,1.3112261154826652,1.3239343621304305
moderate,0,operational,62,5,1.222486442328604,1.2248746400760164
moderate,0,operational,63,6,1.4285645302330314,1.4395124744921182
moderate,0,retained_certificates,0,0,0.0,0.0
moderate,0,retained_certificates,1,1,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,2,1,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,3,2,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,4,1,0.0,0.0
moderate,0,retained_certificates,5,2,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,6,2,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,7,3,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,8,1,0.0,0.0
moderate,0,retained_certificates,9,2,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,10,2,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,11,3,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,12,2,0.0,0.0
moderate,0,retained_certificates,13,3,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,14,3,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,15,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,16,1,0.005169131895541579,0.0038422377855567014
moderate,0,retained_certificates,17,2,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,18,2,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,19,3,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,20,2,0.005169131895541579,0.0038422377855567014
moderate,0,retained_certificates,21,3,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,22,3,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,23,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,24,2,0.005169131895541579,0.0038422377855567014
moderate,0,retained_certificates,25,3,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,26,3,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,27,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,28,3,0.005169131895541579,0.0038422377855567014
moderate,0,retained_certificates,29,4,0.8028799024114357,0.8029614806116978
moderate,0,retained_certificates,30,4,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,31,5,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,32,1,0.0897361552303848,0.09121127756517122
moderate,0,retained_certificates,33,2,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,34,2,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,35,3,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,36,2,0.0897361552303848,0.09121127756517122
moderate,0,retained_certificates,37,3,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,38,3,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,39,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,40,2,0.0897361552303848,0.09121127756517122
moderate,0,retained_certificates,41,3,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,42,3,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,43,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,44,3,0.0897361552303848,0.09121127756517122
moderate,0,retained_certificates,45,4,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,46,4,1.0039208637828247,1.0039084535370382
moderate,0,retained_certificates,47,5,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,48,2,0.09490528712592639,0.09505351535072704
moderate,0,retained_certificates,49,3,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,50,3,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,51,4,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,52,3,0.09490528712592639,0.09505351535072704
moderate,0,retained_certificates,53,4,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,54,4,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,55,5,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,56,3,0.09490528712592639,0.09505351535072704
moderate,0,retained_certificates,57,4,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,58,4,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,59,5,1.3168962136393785,1.3395050018771237
moderate,0,retained_certificates,60,4,0.09490528712592639,0.09505351535072704
moderate,0,retained_certificates,61,5,0.8173082176490509,0.8250752714816554
moderate,0,retained_certificates,62,5,1.004050915736995,1.0039084535370382
moderate,0,retained_certificates,63,6,1.3168962136393785,1.3395050018771237
moderate,1,operational,0,0,0.0,0.0
moderate,1,operational,1,1,0.07322612918977445,0.07250571975164677
moderate,1,operational,2,1,0.2689467526165916,0.26963994856596063
moderate,1,operational,3,2,0.22854189879057074,0.2286021363303785
moderate,1,operational,4,1,-0.13799935831656196,-0.13799935831656196
moderate,1,operational,5,2,0.01508616371874405,0.013159165410106421
moderate,1,operational,6,2,0.07804461776868177,0.07963057591602052
moderate,1,operational,7,3,0.17053506272169683,0.17038185447280796
moderate,1,operational,8,1,0.0695243921909281,0.0695243921909281
moderate,1,operational,9,2,0.14184455192778422,0.1417933007734402
moderate,1,operational,10,2,0.2949880098304116,0.29663064409311746
moderate,1,operational,11,3,0.29048410091600463,0.28998742642163977
moderate,1,operational,12,2,-0.10257573695797273,-0.10257573695797273
moderate,1,operational,13,3,0.023819954124521203,0.02299060547747489
moderate,1,operational,14,3,0.09726309929337829,0.09831193190146426
moderate,1,operational,15,4,0.17775386200884213,0.17801639480134313
