surface,method,mae,mae_mcse
constant,atlas,0.5039900525881095,0.024379695506857393
constant,atlas_no_rejection,0.5039900525881095,0.024379695506857393
constant,full_nearest,0.7522960297054816,0.029559405894133656
constant,ivw_meta,0.3928722471211155,0.029023779860629473
constant,random_effects_meta,0.3930327788229345,0.029066398317007313
constant,rbf_kernel_ridge,0.5423339244585302,0.026273421077160897
constant,ridge_meta_regression,0.5197983313465911,0.0280343407154643
constant,semantic_forced,0.39278542251152215,0.026917793303535185
constant,unit_ridge_t_learner,0.42180233713675,0.021616068717601734
interaction,atlas,0.49341076981226345,0.021709653597802324
interaction,atlas_no_rejection,0.49341076981226345,0.021709653597802324
interaction,full_nearest,0.7505975425072751,0.028048775567712587
interaction,ivw_meta,0.4998802868268438,0.023688570515745345
interaction,random_effects_meta,0.49861578431445336,0.02369710563041567
interaction,rbf_kernel_ridge,0.5557662527316884,0.024484137623355506
interaction,ridge_meta_regression,0.518956184131679,0.030722334480391116
interaction,semantic_forced,0.4584653950494134,0.02389718561038546
interaction,unit_ridge_t_learner,0.4169289768897466,0.02140329897277914
smooth,atlas,0.4883660704334433,0.023429522696111475
smooth,atlas_no_rejection,0.4883660704334433,0.023429522696111475
smooth,full_nearest,0.7791620740131867,0.027961268542046225
smooth,ivw_meta,0.4449789103482798,0.028707785489180467
smooth,random_effects_meta,0.444859415823204,0.028686991440505134
smooth,rbf_kernel_ridge,0.5389517435712374,0.026770412703182433
smooth,ridge_meta_regression,0.5321755362796817,0.028722777646022678
smooth,semantic_forced,0.4566500322413368,0.02853741360619983
smooth,unit_ridge_t_learner,0.4264087113061261,0.021474953776404668
