scenario,method,difference,mcse,lower,upper
high_noise,atlas,0.0,0.0,0.0,0.0
high_noise,atlas_no_rejection,0.0,0.0,0.0,0.0
high_noise,full_nearest,0.3244569606980698,0.02255502434713395,0.28024911297768723,0.36866480841845234
high_noise,ivw_meta,0.13500542995231488,0.014018095554851558,0.10752996266480583,0.16248089723982392
high_noise,random_effects_meta,0.13174150708224508,0.013878930709414348,0.10453880289179296,0.1589442112726972
high_noise,rbf_kernel_ridge,0.014787049858161604,0.006457914047618233,0.002129538324829868,0.02744456139149334
high_noise,ridge_meta_regression,0.010048406118370993,0.002215902493126585,0.005705237231842886,0.014391575004899099
high_noise,semantic_forced,0.10417875126848188,0.011803684954203182,0.08104352875824364,0.1273139737787201
moderate,atlas,0.0,0.0,0.0,0.0
moderate,atlas_no_rejection,0.0,0.0,0.0,0.0
moderate,full_nearest,0.31061628213916453,0.02352210824391247,0.2645129499810961,0.356719614297233
moderate,ivw_meta,0.34229154686561974,0.015101321308783291,0.3126929571004045,0.371890136630835
moderate,random_effects_meta,0.33841115113514547,0.014953689524806487,0.3091019196665248,0.36772038260376616
moderate,rbf_kernel_ridge,-0.049359715589692287,0.006786053093130271,-0.06266037965222762,-0.03605905152715695
moderate,ridge_meta_regression,-0.03161606536372674,0.006342324167948003,-0.044047020732904826,-0.019185109994548658
moderate,semantic_forced,0.26059807840593585,0.014138703719248715,0.23288621911620838,0.2883099376956633
nominal,atlas,0.0,0.0,0.0,0.0
nominal,atlas_no_rejection,0.0,0.0,0.0,0.0
nominal,full_nearest,0.31703108738993707,0.01993685263244039,0.27795485623035393,0.3561073185495202
nominal,ivw_meta,0.14584869440990894,0.01381924496529849,0.1187629742779239,0.17293441454189398
nominal,random_effects_meta,0.1429708623207297,0.013598976672432862,0.11631686804276128,0.1696248565986981
nominal,rbf_kernel_ridge,-0.018949156519521605,0.004177478457060216,-0.027137014295359627,-0.01076129874368358
nominal,ridge_meta_regression,0.002478976626820331,0.0014834415337752307,-0.0004285687793791214,0.005386522033019783
nominal,semantic_forced,0.11055843442205948,0.011336583251871101,0.08833873124839212,0.13277813759572685
severe,atlas,0.0,0.0,0.0,0.0
severe,atlas_no_rejection,0.0,0.0,0.0,0.0
severe,full_nearest,0.08514924634591145,0.0239166276433248,0.038272656164994846,0.13202583652682806
severe,ivw_meta,0.5524824641537742,0.022599036999612927,0.5081883516345329,0.5967765766730155
severe,random_effects_meta,0.5482929812612376,0.022531866760408928,0.5041305224108361,0.5924554401116391
severe,rbf_kernel_ridge,-0.3115460238563028,0.019410411313158182,-0.3495904300300928,-0.2735016176825128
severe,ridge_meta_regression,-0.3795293884567187,0.02496646362081875,-0.4284636571535234,-0.33059511975991396
severe,semantic_forced,0.42506576417252956,0.021734158882331045,0.3824668127631607,0.4676647155818984
