scenario,method,mae,mae_mcse,n
high_noise,atlas,0.1624003218006248,0.007039282286473795,300
high_noise,atlas_no_rejection,0.1624003218006248,0.007039282286473795,300
high_noise,full_nearest,0.4868572824986946,0.022038230391207603,300
high_noise,ivw_meta,0.2974057517529397,0.013664418370662387,300
high_noise,random_effects_meta,0.29414182888286994,0.013479033301850792,300
high_noise,rbf_kernel_ridge,0.17718737165878642,0.007730974847272664,300
high_noise,ridge_meta_regression,0.17244872791899582,0.007301390558703468,300
high_noise,semantic_forced,0.26657907306910666,0.011351273995337259,300
moderate,atlas,0.23057797175816938,0.00928711651266996,300
moderate,atlas_no_rejection,0.23057797175816938,0.00928711651266996,300
moderate,full_nearest,0.5411942538973339,0.022431436112922244,300
moderate,ivw_meta,0.5728695186237892,0.015239936961950204,300
moderate,random_effects_meta,0.5689891228933148,0.015015688119132828,300
moderate,rbf_kernel_ridge,0.18121825616847714,0.007595945507444437,300
moderate,ridge_meta_regression,0.19896190639444267,0.007922982060311128,300
moderate,semantic_forced,0.4911760501641052,0.01482549628505253,300
nominal,atlas,0.13869936674551478,0.005712067972421126,300
nominal,atlas_no_rejection,0.13869936674551478,0.005712067972421126,300
nominal,full_nearest,0.45573045413545193,0.019589806433565376,300
nominal,ivw_meta,0.2845480611554237,0.013396412316622015,300
nominal,random_effects_meta,0.2816702290662445,0.013165981114037275,300
nominal,rbf_kernel_ridge,0.11975021022599319,0.0050722759491574725,300
nominal,ridge_meta_regression,0.14117834337233512,0.005778464981082111,300
nominal,semantic_forced,0.2492578011675743,0.010682916829823523,300
severe,atlas,0.7074386784081196,0.02461953374247153,300
severe,atlas_no_rejection,0.7074386784081196,0.02461953374247153,300
severe,full_nearest,0.7925879247540311,0.033260070486693626,300
severe,ivw_meta,1.259921142561894,0.017296454748263215,300
severe,random_effects_meta,1.255731659669357,0.017287323514721915,300
severe,rbf_kernel_ridge,0.39589265455181677,0.019063624299046678,300
severe,ridge_meta_regression,0.3279092899514009,0.015713307045739745,300
severe,semantic_forced,1.1325044425806492,0.021533672186403327,300
