scenario_key,scenario_label,estimator_key,repetitions,seed_batches,accepted_repetitions,acceptance_rate,acceptance_ci_lower,acceptance_ci_upper,rejection_rate,accepted_mae,accepted_mae_mc_se,accepted_rmse,accepted_bias,accepted_sign_accuracy,interval_coverage,mean_interval_width,mean_certificate_radius,between_seed_acceptance_sd,between_seed_mae_sd
nominal,nominal setting,atlas,300,3,139,0.4633333333333333,0.40772488257071904,0.5198689689624482,0.5366666666666666,0.11091933611494123,0.006921458466556312,0.137528935763234,-0.09840644174365382,0.9280575539568345,1.0,3.33906541595,1.7016317800196195,0.03785938897200183,0.006985696718914861
nominal,nominal setting,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.13869936674551483,0.005712067972421125,0.17027390513978652,-0.12933286190525317,0.8933333333333333,1.0,3.33906541595,1.7016317800196195,0.0,0.008103410932759576
nominal,nominal setting,atlas_no_variance_penalty,300,3,132,0.44,0.3849382095794712,0.49657900202025707,0.56,0.11243528705077727,0.007260817866490922,0.1398139661908889,-0.09911590385643729,0.9242424242424242,1.0,3.3389577012879874,1.7019291058651576,0.02645751311064593,0.006330606714133329
nominal,nominal setting,atlas_top4_candidates,300,3,96,0.32,0.26977448682270544,0.37477714797647943,0.68,0.1233829731978704,0.009547107030093732,0.15453914415555883,-0.0753443876301763,0.90625,1.0,3.6260634852520086,1.860063920617685,0.045825756949558386,0.009203558776369877
nominal,nominal setting,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2241179483262047,0.009936174455046791,0.28239758504541707,-0.13834191060530227,0.8266666666666667,1.0,4.476863061888992,2.267088051900558,0.0,0.021832556830982622
nominal,nominal setting,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.45573045413545193,0.019589806433565372,0.5678332863981896,-0.04431172872339408,0.7866666666666666,1.0,4.808718292913944,2.47998214071901,0.0,0.020262672297944467
nominal,nominal setting,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2816351338546061,0.013164697727966213,0.3621295613943286,-0.15709516830739473,0.78,1.0,5.2241148474306165,2.6387934186458737,0.0,0.03069285609948029
semantic_mismatch_010,mild semantic mismatch,atlas,300,3,117,0.39,0.3365290761052125,0.44625247849428934,0.61,0.12567357882211308,0.008404608428698439,0.15487992698658126,-0.11217821887018105,0.9401709401709402,1.0,3.4095423150485287,1.7401834033348575,0.026457513110645908,0.007166183817600344
semantic_mismatch_010,mild semantic mismatch,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.15810714724136712,0.006168943106201638,0.19072643200149686,-0.14824326818302255,0.9033333333333333,1.0,3.4095423150485287,1.7401834033348575,0.0,0.0077014269251276185
semantic_mismatch_010,mild semantic mismatch,atlas_no_variance_penalty,300,3,115,0.38333333333333336,0.33011889302772734,0.43949790730507765,0.6166666666666667,0.12343014232920893,0.008305220688184517,0.15198138956091256,-0.10662139695752793,0.9391304347826087,1.0,3.4066299467202814,1.7395398168005034,0.020816659994661344,0.012512177826816599
semantic_mismatch_010,mild semantic mismatch,atlas_top4_candidates,300,3,79,0.2633333333333333,0.21671070808563797,0.3159405154466235,0.7366666666666667,0.12990820337357556,0.010992094977327543,0.16217453918237668,-0.07416621948182803,0.9367088607594937,1.0,3.7282744825463823,1.911500950041066,0.025166114784235825,0.013298808188213579
semantic_mismatch_010,mild semantic mismatch,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2976445166787039,0.011743676173315723,0.36031725381661456,-0.2669566750940905,0.77,1.0,4.680031926230431,2.368614849785719,0.0,0.013742663142881965
semantic_mismatch_010,mild semantic mismatch,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.48770229724910963,0.019809377973561648,0.5959736202183685,-0.0700531281345551,0.77,1.0,4.844846655569043,2.4979185414528975,0.0,0.010174121784288526
semantic_mismatch_010,mild semantic mismatch,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.3654733648441611,0.01468292039280287,0.44500745795735586,-0.3242950332411245,0.7033333333333334,1.0,5.422784122988667,2.738128056424899,0.0,0.015985032559566674
semantic_mismatch_025,severe semantic mismatch,atlas,300,3,85,0.2833333333333333,0.23533002872803954,0.33681545760431253,0.7166666666666667,0.15808358418421856,0.011753701851167735,0.19129813954621985,-0.13708113993655904,0.9529411764705882,1.0,3.838687299484859,1.9633778440471261,0.04041451884327381,0.0030571418627179546
semantic_mismatch_025,severe semantic mismatch,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.23057797175816944,0.009287116512669962,0.2809895202013118,-0.21723334438707453,0.8833333333333333,1.0,3.838687299484859,1.9633778440471261,0.0,0.005817283636228805
semantic_mismatch_025,severe semantic mismatch,atlas_no_variance_penalty,300,3,84,0.28,0.23221820291536688,0.3333449062836369,0.72,0.15554822479178437,0.01204996877782468,0.1903864367076581,-0.13203195633667747,0.9523809523809523,1.0,3.834222434815471,1.9619037030765696,0.0360555127546399,0.00631551573612411
semantic_mismatch_025,severe semantic mismatch,atlas_top4_candidates,300,3,63,0.21,0.16772109488365303,0.25961209451503364,0.79,0.15328624309236133,0.013972999023259706,0.1886845087096965,-0.101692312278052,0.9523809523809523,1.0,3.999462884872158,2.048100392090277,0.05291502622129182,0.03294178048324413
semantic_mismatch_025,severe semantic mismatch,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.4584649752051958,0.013462560198573654,0.5141799792804719,-0.45200137229640736,0.7166666666666667,1.0,5.582815798559718,2.820292769378518,0.0,0.018223802967482272
semantic_mismatch_025,severe semantic mismatch,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.5411942538973339,0.02243143611292224,0.665836953729543,-0.1415661239132922,0.76,1.0,4.962824431845312,2.5570069635035666,0.0,0.022698341691586736
semantic_mismatch_025,severe semantic mismatch,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.5689504258331592,0.015013588983958206,0.6253811121670716,-0.5618135192332995,0.5966666666666667,1.0,6.4978291919991324,3.275650590930132,0.0,0.02089468671957729
hidden_radius_040,larger hidden-moderator uncertainty,atlas,300,3,0,0.0,0.0,0.012643429997735661,1.0,,,,,,1.0,4.579065414251339,2.321631779166633,0.0,
hidden_radius_040,larger hidden-moderator uncertainty,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.13869936716484405,0.005712067991194055,0.17027390566965717,-0.1293328620734526,0.8933333333333333,1.0,4.579065414251339,2.321631779166633,0.0,0.008103411132560408
hidden_radius_040,larger hidden-moderator uncertainty,atlas_no_variance_penalty,300,3,0,0.0,0.0,0.012643429997735661,1.0,,,,,,1.0,4.5789576991429435,2.321929104793242,0.0,
hidden_radius_040,larger hidden-moderator uncertainty,atlas_top4_candidates,300,3,0,0.0,0.0,0.012643429997735661,1.0,,,,,,1.0,4.866063485324343,2.480063920646959,0.0,
hidden_radius_040,larger hidden-moderator uncertainty,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2241179483262047,0.009936174455046791,0.28239758504541707,-0.13834191060530227,0.8266666666666667,1.0,5.716863061888993,2.887088051900558,0.0,0.021832556830982622
hidden_radius_040,larger hidden-moderator uncertainty,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.45573045413545193,0.019589806433565372,0.5678332863981896,-0.04431172872339408,0.7866666666666666,1.0,6.048718292913944,3.0999821407190105,0.0,0.020262672297944467
hidden_radius_040,larger hidden-moderator uncertainty,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2816351338546061,0.013164697727966213,0.3621295613943286,-0.15709516830739473,0.78,1.0,6.464114847430616,3.2587934186458734,0.0,0.03069285609948029
sample_size_100,small experiments,atlas,300,3,69,0.23,0.18597107673744184,0.28085637546133546,0.77,0.12289957260371975,0.010605709397736774,0.15084103496915371,-0.086277065043261,0.8695652173913043,1.0,3.5370866681724693,1.8320822857091945,0.04582575694955841,0.02965981584487831
sample_size_100,small experiments,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.14985618834946307,0.006256140330893805,0.18482295703386184,-0.12755404291764935,0.88,1.0,3.5370866681724693,1.8320822857091945,0.0,0.014173415451341424
sample_size_100,small experiments,atlas_no_variance_penalty,300,3,74,0.24666666666666667,0.20129303378573715,0.29844630407978223,0.7533333333333333,0.12538423736354282,0.009824618719267613,0.15088868641055583,-0.0893675103581319,0.8918918918918919,1.0,3.5090586484210697,1.8198715463481927,0.04725815626252608,0.03304295075819967
