method,target_evaluations,seed_batches,mae,median_absolute_error,sign_accuracy,interval_coverage,mean_interval_width,rejection_rate,mean_certificate_radius,between_seed_mae_sd,between_seed_rejection_sd,seed_batch,base_seed
atlas,560,1,0.8325025889038958,0.6798719985316364,0.8589285714285714,0.9732142857142857,5.656334870170024,0.23392857142857143,2.828167435085012,,,0,20261201
atlas,560,1,0.8535628929245943,0.701858161015342,0.8392857142857143,0.9696428571428571,5.586798560263212,0.23214285714285715,2.793399280131606,,,1,20261202
atlas,560,1,0.8984426546727927,0.702878696330812,0.8642857142857143,0.9803571428571428,5.64763883375426,0.23035714285714284,2.82381941687713,,,2,20261203
atlas_no_rejection,560,1,0.8325025889038958,0.6798719985316364,0.8589285714285714,0.9696428571428571,5.29943620477828,0.0,2.64971810238914,,,0,20261201
atlas_no_rejection,560,1,0.8535628929245943,0.701858161015342,0.8392857142857143,0.9678571428571429,5.230246089514716,0.0,2.615123044757358,,,1,20261202
atlas_no_rejection,560,1,0.8984426546727927,0.702878696330812,0.8642857142857143,0.9714285714285714,5.295108101281125,0.0,2.6475540506405624,,,2,20261203
semantic_forced,560,1,1.145785984311077,0.898828173344081,0.7535714285714286,0.6107142857142858,2.8548137164408227,0.0,1.4274068582204114,,,0,20261201
semantic_forced,560,1,1.1623613754463529,0.9257897541816489,0.7446428571428572,0.6196428571428572,2.8546305761400506,0.0,1.4273152880700253,,,1,20261202
semantic_forced,560,1,1.1982720914193066,1.0682404389494984,0.7625,0.5839285714285715,2.852835756678953,0.0,1.4264178783394765,,,2,20261203
nearest_semantic,560,1,1.2554233717933507,1.050856295369692,0.7910714285714285,0.9857142857142858,8.19162470171956,0.0,4.095812350859781,,,0,20261201
nearest_semantic,560,1,1.2475311529793522,1.064988759244752,0.7553571428571428,0.9946428571428572,8.417828074243337,0.0,4.2089140371216684,,,1,20261202
nearest_semantic,560,1,1.2237307720586927,0.9351502827703904,0.7946428571428571,0.9964285714285714,8.323032065694719,0.0,4.161516032847359,,,2,20261203
global_mean,560,1,1.6399304967825417,1.3868377200195798,0.7946428571428571,0.4357142857142857,2.4733864576803035,0.0,1.2366932288401518,,,0,20261201
global_mean,560,1,1.6739262889739304,1.3029024325363314,0.7696428571428572,0.45535714285714285,2.469404582901318,0.0,1.234702291450659,,,1,20261202
global_mean,560,1,1.723249502973698,1.3374339189727906,0.7875,0.44642857142857145,2.480993319461175,0.0,1.2404966597305875,,,2,20261203
