method,seed_batch,replicate,split_seed,target_object_id,heldout_local_contrast,reconstructed_contrast,signed_reconstruction_error,absolute_reconstruction_error,accepted,interval_lower,interval_upper,interval_includes_reference,certificate_radius
atlas,0,0,1260926274,local_001,1.725786379496256,1.4411129826886655,-0.2846733968075905,0.2846733968075905,False,-2.053638051195156,4.935864016572487,True,3.4947510338838215
atlas_no_rejection,0,0,1260926274,local_001,1.725786379496256,1.4411129826886655,-0.2846733968075905,0.2846733968075905,True,-1.865414463562265,4.7476404289395955,True,3.3065274462509304
semantic_forced,0,0,1260926274,local_001,1.725786379496256,1.3313949806495948,-0.3943913988466612,0.3943913988466612,True,-0.9837506372062261,3.646540598505416,True,2.315145617855821
nearest_semantic,0,0,1260926274,local_001,1.725786379496256,1.2955399081796255,-0.4302464713166305,0.4302464713166305,True,-2.5993179612712094,5.19039777763046,True,3.894857869450835
global_mean,0,0,1260926274,local_001,1.725786379496256,1.4643154933185543,-0.26147088617770176,0.26147088617770176,True,-1.0262816600017894,3.954912646638898,True,2.4905971533203437
atlas,0,0,1260926274,local_004,3.22451144482467,3.812061452006885,0.5875500071822151,0.5875500071822151,True,1.2087802047967915,6.415342699216978,True,2.6032812472100937
atlas_no_rejection,0,0,1260926274,local_004,3.22451144482467,3.812061452006885,0.5875500071822151,0.5875500071822151,True,1.317961438253779,6.306161465759992,True,2.494100013753106
semantic_forced,0,0,1260926274,local_004,3.22451144482467,2.8550052585401295,-0.36950618628454057,0.36950618628454057,True,1.3311329439074124,4.378877573172847,True,1.523872314632717
nearest_semantic,0,0,1260926274,local_004,3.22451144482467,2.3066353384254437,-0.9178761063992265,0.9178761063992265,True,-1.4209491955200573,6.034219872370945,True,3.727584533945501
global_mean,0,0,1260926274,local_004,3.22451144482467,1.4643154933185543,-1.7601959515061159,1.7601959515061159,True,0.10740934572334226,2.821221640913766,False,1.356906147595212
atlas,0,0,1260926274,local_005,0.7343614374671263,0.5874141580516518,-0.14694727941547459,0.14694727941547459,True,-2.0543856273405527,3.229213943443856,True,2.6417997853922044
atlas_no_rejection,0,0,1260926274,local_005,0.7343614374671263,0.5874141580516518,-0.14694727941547459,0.14694727941547459,True,-1.8175017141033063,2.9923300302066096,True,2.404915872154958
semantic_forced,0,0,1260926274,local_005,0.7343614374671263,0.7551460683797803,0.020784630912653923,0.020784630912653923,True,-0.8572065920332578,2.3674987287928184,True,1.612352660413038
nearest_semantic,0,0,1260926274,local_005,0.7343614374671263,-1.1486642040449873,-1.8830256415121136,1.8830256415121136,True,-4.349758869071034,2.0524304609810597,True,3.201094665026047
global_mean,0,0,1260926274,local_005,0.7343614374671263,1.4643154933185543,0.7299540558514279,0.7299540558514279,True,0.008690631321366382,2.919940355315742,True,1.4556248619971879
atlas,0,0,1260926274,local_010,0.4895771132022282,0.7991974399564405,0.30962032675421236,0.30962032675421236,True,-1.202598427428816,2.800993307341697,True,2.0017958673852565
atlas_no_rejection,0,0,1260926274,local_010,0.4895771132022282,0.7991974399564405,0.30962032675421236,0.30962032675421236,True,-1.0665612695962152,2.6649561495090963,True,1.8657587095526558
semantic_forced,0,0,1260926274,local_010,0.4895771132022282,0.30899198390934757,-0.18058512929288062,0.18058512929288062,True,-0.7846316632125587,1.4026156310312539,True,1.0936236471219063
nearest_semantic,0,0,1260926274,local_010,0.4895771132022282,1.3884928186035155,0.8989157054012873,0.8989157054012873,True,-1.011123139396331,3.788108776603362,True,2.3996159579998464
global_mean,0,0,1260926274,local_010,0.4895771132022282,1.4643154933185543,0.9747383801163261,0.9747383801163261,True,0.19049458265871033,2.738136403978398,True,1.273820910659844
atlas,0,0,1260926274,local_015,2.732424938964845,2.764077337732855,0.03165239876800996,0.03165239876800996,False,-0.5555570659795408,6.083711741445251,True,3.3196344037123957
atlas_no_rejection,0,0,1260926274,local_015,2.732424938964845,2.764077337732855,0.03165239876800996,0.03165239876800996,True,-0.19760589077343083,5.72576056623914,True,2.9616832285062857
semantic_forced,0,0,1260926274,local_015,2.732424938964845,3.970092218224198,1.237667279259353,1.237667279259353,True,2.345768003642612,5.594416432805784,True,1.624324214581586
nearest_semantic,0,0,1260926274,local_015,2.732424938964845,5.689955578486124,2.9575306395212793,2.9575306395212793,True,1.8754732848553672,9.504437872116881,True,3.814482293630757
global_mean,0,0,1260926274,local_015,2.732424938964845,1.4643154933185543,-1.2681094456462907,1.2681094456462907,True,0.06536154561244123,2.8632694410246673,True,1.398953947706113
atlas,0,0,1260926274,local_019,-0.01264156401752281,0.6547800694673138,0.6674216334848366,0.6674216334848366,False,-2.668294983521669,3.9778551224562966,True,3.3230750529889828
atlas_no_rejection,0,0,1260926274,local_019,-0.01264156401752281,0.6547800694673138,0.6674216334848366,0.6674216334848366,True,-2.305733278369863,3.615293417304491,True,2.960513347837177
semantic_forced,0,0,1260926274,local_019,-0.01264156401752281,2.4521667195997283,2.464808283617251,2.464808283617251,True,1.0705890758779353,3.8337443633215216,False,1.381577643721793
nearest_semantic,0,0,1260926274,local_019,-0.01264156401752281,2.162841306612088,2.1754828706296108,2.1754828706296108,True,-1.854924719271689,6.180607332495865,True,4.017766025883777
global_mean,0,0,1260926274,local_019,-0.01264156401752281,1.4643154933185543,1.476957057336077,1.476957057336077,True,0.12268575401304171,2.805945232624067,False,1.3416297393055125
atlas,0,0,1260926274,local_026,3.3589079998016356,2.83515147667568,-0.5237565231259556,0.5237565231259556,True,-0.16699588412478672,5.837298837476147,True,3.0021473608004667
atlas_no_rejection,0,0,1260926274,local_026,3.3589079998016356,2.83515147667568,-0.5237565231259556,0.5237565231259556,True,0.09836464276377654,5.5719383105875835,True,2.7367868339119035
semantic_forced,0,0,1260926274,local_026,3.3589079998016356,1.7057054421677862,-1.6532025576338494,1.6532025576338494,True,0.38287527331919957,3.028535611016373,False,1.3228301688485866
nearest_semantic,0,0,1260926274,local_026,3.3589079998016356,1.5581075503338564,-1.8008004494677792,1.8008004494677792,True,-2.297630797803561,5.413845898471274,True,3.8557383481374172
global_mean,0,0,1260926274,local_026,3.3589079998016356,1.4643154933185543,-1.8945925064830813,1.8945925064830813,True,0.3224727852035978,2.6061582014335105,False,1.1418427081149565
atlas,0,0,1260926274,local_027,6.076206580528844,5.612192439210083,-0.46401414131876084,0.46401414131876084,True,2.841369106854776,8.38301577156539,True,2.770823332355307
atlas_no_rejection,0,0,1260926274,local_027,6.076206580528844,5.612192439210083,-0.46401414131876084,0.46401414131876084,True,2.9956172288897824,8.228767649530383,True,2.6165752103203004
semantic_forced,0,0,1260926274,local_027,6.076206580528844,3.785394011722389,-2.2908125688064547,2.2908125688064547,True,2.3134369334353275,5.2573510900094504,False,1.4719570782870612
nearest_semantic,0,0,1260926274,local_027,6.076206580528844,6.216447191482935,0.14024061095409124,0.14024061095409124,True,2.026522260862694,10.406372122103175,True,4.189924930620241
global_mean,0,0,1260926274,local_027,6.076206580528844,1.4643154933185543,-4.61189108721029,4.61189108721029,True,-0.0395154399522506,2.9681464265893593,False,1.5038309332708049
atlas,0,0,1260926274,local_034,5.389327648608717,4.979692468165202,-0.409635180443515,0.409635180443515,False,1.1539098098726313,8.805475126457772,True,3.8257826582925705
atlas_no_rejection,0,0,1260926274,local_034,5.389327648608717,4.979692468165202,-0.409635180443515,0.409635180443515,True,1.3355936647703581,8.623791271560044,True,3.6440988033948436
semantic_forced,0,0,1260926274,local_034,5.389327648608717,3.0880646107505814,-2.3012630378581354,2.3012630378581354,True,1.3707314643926096,4.805397757108553,False,1.7173331463579717
nearest_semantic,0,0,1260926274,local_034,5.389327648608717,3.3972131688044627,-1.992114479804254,1.992114479804254,True,-1.1315876846787098,7.926014022287635,True,4.5288008534831725
global_mean,0,0,1260926274,local_034,5.389327648608717,1.4643154933185543,-3.9250121552901627,3.9250121552901627,True,-0.10853865986160915,3.0371696464987177,False,1.5728541531801634
atlas,0,0,1260926274,local_035,3.174158549672741,2.7965593393649186,-0.3775992103078223,0.3775992103078223,True,0.1504050475139227,5.442713631215915,True,2.646154291850996
atlas_no_rejection,0,0,1260926274,local_035,3.174158549672741,2.7965593393649186,-0.3775992103078223,0.3775992103078223,True,0.35519647513054897,5.237922203599288,True,2.4413628642343697
semantic_forced,0,0,1260926274,local_035,3.174158549672741,2.1863879203766543,-0.9877706292960866,0.9877706292960866,True,0.7793563088974711,3.5934195318558375,True,1.4070316114791832
nearest_semantic,0,0,1260926274,local_035,3.174158549672741,2.4753185280143444,-0.6988400216583965,0.6988400216583965,True,-1.639633855664147,6.590270911692835,True,4.114952383678491
global_mean,0,0,1260926274,local_035,3.174158549672741,1.4643154933185543,-1.7098430563541867,1.7098430563541867,True,0.1749343193451749,2.7536966672919334,False,1.2893811739733794
atlas,0,0,1260926274,local_038,0.999887837146578,1.3953477918458042,0.3954599546992261,0.3954599546992261,True,-1.878124054258132,4.66881963794974,True,3.273471846103936
atlas_no_rejection,0,0,1260926274,local_038,0.999887837146578,1.3953477918458042,0.3954599546992261,0.3954599546992261,True,-1.7061792184177191,4.496874802109327,True,3.1015270102635233
semantic_forced,0,0,1260926274,local_038,0.999887837146578,1.125838701099013,0.12595086395243493,0.12595086395243493,True,-0.9738018454742599,3.2254792476722858,True,2.099640546573273
nearest_semantic,0,0,1260926274,local_038,0.999887837146578,1.6104133850546454,0.6105255479080673,0.6105255479080673,True,-2.748016652760933,5.968843422870224,True,4.3584300378155785
global_mean,0,0,1260926274,local_038,0.999887837146578,1.4643154933185543,0.46442765617197623,0.46442765617197623,True,-0.8271603059153214,3.7557912925524297,True,2.2914757992338757
atlas,0,0,1260926274,local_040,1.2805820576985676,0.5018301599714613,-0.7787518977271063,0.7787518977271063,True,-1.8747394543074147,2.8783997742503376,True,2.376569614278876
atlas_no_rejection,0,0,1260926274,local_040,1.2805820576985676,0.5018301599714613,-0.7787518977271063,0.7787518977271063,True,-1.6741971817783425,2.6778575017212654,True,2.176027341749804
semantic_forced,0,0,1260926274,local_040,1.2805820576985676,-0.20388365285684246,-1.48446571055541,1.48446571055541,True,-1.4483809674236914,1.0406136617100066,False,1.244497314566849
nearest_semantic,0,0,1260926274,local_040,1.2805820576985676,-1.1420851462190953,-2.422667203917663,2.422667203917663,True,-4.238612842581128,1.9544425501429377,True,3.096527696362033
global_mean,0,0,1260926274,local_040,1.2805820576985676,1.4643154933185543,0.18373343561998667,0.18373343561998667,True,0.438725470901256,2.4899055157358525,True,1.0255900224172982
atlas,0,0,1260926274,local_048,1.4627749467232762,2.4736020480157834,1.0108271012925072,1.0108271012925072,True,-0.3210356233981626,5.2682397194297295,True,2.794637671413946
atlas_no_rejection,0,0,1260926274,local_048,1.4627749467232762,2.4736020480157834,1.0108271012925072,1.0108271012925072,True,-0.11887030832341239,5.066074404354979,True,2.592472356339196
semantic_forced,0,0,1260926274,local_048,1.4627749467232762,2.5397993473285276,1.0770244006052514,1.0770244006052514,True,1.0159555466970982,4.063643147959957,True,1.5238438006314294
nearest_semantic,0,0,1260926274,local_048,1.4627749467232762,2.8589108825256133,1.396135935802337,1.396135935802337,True,-1.0815563586823491,6.799378123733575,True,3.9404672412079624
global_mean,0,0,1260926274,local_048,1.4627749467232762,1.4643154933185543,0.001540546595278025,0.001540546595278025,True,0.20983729721050715,2.7187936894266014,True,1.2544781961080471
atlas,0,0,1260926274,local_054,6.346695914633365,6.089095572939426,-0.257600341693939,0.257600341693939,True,2.8065488232317497,9.371642322647102,True,3.2825467497076763
atlas_no_rejection,0,0,1260926274,local_054,6.346695914633365,6.089095572939426,-0.257600341693939,0.257600341693939,True,2.9530816355038456,9.225109510375006,True,3.1360139374355804
semantic_forced,0,0,1260926274,local_054,6.346695914633365,3.4970223022410787,-2.8496736123922863,2.8496736123922863,True,1.9437649411018678,5.050279663380289,False,1.5532573611392109
nearest_semantic,0,0,1260926274,local_054,6.346695914633365,6.879289266540233,0.5325933519068684,0.5325933519068684,True,2.2449142259868644,11.513664307093602,True,4.634375040553369
global_mean,0,0,1260926274,local_054,6.346695914633365,1.4643154933185543,-4.882380421314811,4.882380421314811,True,-0.08854357306217664,3.017174559699285,False,1.552859066380731
atlas,0,0,1260926274,local_058,2.037608550976484,3.091128997674926,1.053520446698442,1.053520446698442,True,-0.04552082177718386,6.227778817127036,True,3.13664981945211
atlas_no_rejection,0,0,1260926274,local_058,2.037608550976484,3.091128997674926,1.053520446698442,1.053520446698442,True,0.10803481754091271,6.074223177808939,True,2.9830941801340134
semantic_forced,0,0,1260926274,local_058,2.037608550976484,2.5605543386202823,0.5229457876437982,0.5229457876437982,True,0.8611036137134729,4.260005063527092,True,1.6994507249068094
nearest_semantic,0,0,1260926274,local_058,2.037608550976484,2.8589108825256133,0.8213023315491292,0.8213023315491292,True,-1.0546487953437595,6.772470560394986,True,3.913559677869373
global_mean,0,0,1260926274,local_058,2.037608550976484,1.4643154933185543,-0.5732930576579298,0.5732930576579298,True,0.16252106911415387,2.7661099175229547,True,1.3017944242044004
atlas,0,0,1260926274,local_060,6.356271346400899,4.878270108913642,-1.4780012374872564,1.4780012374872564,True,2.3151063265269345,7.44143389130035,True,2.5631637823867077
atlas_no_rejection,0,0,1260926274,local_060,6.356271346400899,4.878270108913642,-1.4780012374872564,1.4780012374872564,True,2.4997699932125803,7.256770224614704,True,2.378500115701062
semantic_forced,0,0,1260926274,local_060,6.356271346400899,3.5451314990496425,-2.811139847351256,2.811139847351256,True,2.1573256836944674,4.932937314404818,False,1.387805815355175
nearest_semantic,0,0,1260926274,local_060,6.356271346400899,5.689955578486124,-0.6663157679147744,0.6663157679147744,True,1.4523323364933916,9.927578820478857,True,4.237623241992733
global_mean,0,0,1260926274,local_060,6.356271346400899,1.4643154933185543,-4.891955853082345,4.891955853082345,True,-0.005706377322414635,2.934337363959523,False,1.470021870640969
atlas,0,0,1260926274,local_061,0.5634527334314603,1.428991165351773,0.8655384319203128,0.8655384319203128,True,-1.121082136829397,3.979064467532943,True,2.55007330218117
atlas_no_rejection,0,0,1260926274,local_061,0.5634527334314603,1.428991165351773,0.8655384319203128,0.8655384319203128,True,-0.9243025894011305,3.7822849201046767,True,2.3532937547529036
semantic_forced,0,0,1260926274,local_061,0.5634527334314603,0.587600849835128,0.024148116403667652,0.024148116403667652,True,-0.5589630015395486,1.7341647012098045,True,1.1465638513746765
nearest_semantic,0,0,1260926274,local_061,0.5634527334314603,1.3433813583374024,0.7799286249059421,0.7799286249059421,True,-2.101868327176194,4.788631043850999,True,3.4452496855135966
global_mean,0,0,1260926274,local_061,0.5634527334314603,1.4643154933185543,0.900862759887094,0.900862759887094,True,0.2987977887506079,2.6298331978865006,True,1.1655177045679463
atlas,0,0,1260926274,local_064,1.0780569239524018,-1.232391703323902,-2.310448627276304,2.310448627276304,True,-3.5288105930316984,1.0640271863838944,False,2.2964188897077964
atlas_no_rejection,0,0,1260926274,local_064,1.0780569239524018,-1.232391703323902,-2.310448627276304,2.310448627276304,True,-3.392208121897597,0.927424715249793,False,2.159816418573695
semantic_forced,0,0,1260926274,local_064,1.0780569239524018,0.14542019069136847,-0.9326367332610334,0.9326367332610334,True,-0.9780693365286327,1.2689097179113697,True,1.1234895272200012
nearest_semantic,0,0,1260926274,local_064,1.0780569239524018,-1.122246264648438,-2.2003031886008397,2.2003031886008397,True,-4.6248734363102075,2.3803809070133317,True,3.5026271716617696
global_mean,0,0,1260926274,local_064,1.0780569239524018,1.4643154933185543,0.38625856936615244,0.38625856936615244,True,0.6969494495026092,2.2316815371344996,True,0.7673660438159451
atlas,0,0,1260926274,local_068,1.153900891534212,0.7688449883852873,-0.3850559031489247,0.3850559031489247,True,-0.8866793703832678,2.424369347153842,True,1.655524358768555
atlas_no_rejection,0,0,1260926274,local_068,1.153900891534212,0.7688449883852873,-0.3850559031489247,0.3850559031489247,True,-0.7862776747993521,2.3239676515699266,True,1.5551226631846393
semantic_forced,0,0,1260926274,local_068,1.153900891534212,0.18440501134590737,-0.9694958801883046,0.9694958801883046,True,-0.7896918267940826,1.1585018494858974,True,0.9740968381399899
nearest_semantic,0,0,1260926274,local_068,1.153900891534212,-0.9447126583523211,-2.098613549886533,2.098613549886533,True,-3.9491135992521724,2.0596882825475302,True,3.0044009408998513
global_mean,0,0,1260926274,local_068,1.153900891534212,1.4643154933185543,0.3104146017843423,0.3104146017843423,True,0.2861994638575056,2.642431522779603,True,1.1781160294610487
atlas,0,0,1260926274,local_069,1.1223452203876905,0.05865214247814188,-1.0636930779095486,1.0636930779095486,True,-2.8535869171025317,2.970891202058816,True,2.9122390595806738
atlas_no_rejection,0,0,1260926274,local_069,1.1223452203876905,0.05865214247814188,-1.0636930779095486,1.0636930779095486,True,-2.6769754091223223,2.7942796940786057,True,2.735627551600464
semantic_forced,0,0,1260926274,local_069,1.1223452203876905,1.0710703759576243,-0.051274844430066135,0.051274844430066135,True,-1.1665358493266997,3.3086766012419484,True,2.237606225284324
nearest_semantic,0,0,1260926274,local_069,1.1223452203876905,0.766750504069857,-0.35559471631783346,0.35559471631783346,True,-6.029806078329004,7.563307086468718,True,6.796556582398861
global_mean,0,0,1260926274,local_069,1.1223452203876905,1.4643154933185543,0.3419702729308638,0.3419702729308638,True,0.6067224878105346,2.321908498826574,True,0.8575930055080196
atlas,0,0,1260926274,local_070,2.1991294680640814,0.6492806571273788,-1.5498488109367026,1.5498488109367026,True,-1.8679733110520744,3.166534625306832,True,2.5172539681794532
atlas_no_rejection,0,0,1260926274,local_070,2.1991294680640814,0.6492806571273788,-1.5498488109367026,1.5498488109367026,True,-1.6828057081875922,2.98136702244235,True,2.332086365314971
semantic_forced,0,0,1260926274,local_070,2.1991294680640814,0.33054955832167987,-1.8685799097424014,1.8685799097424014,True,-0.6783325994949619,1.3394317161383218,False,1.0088821578166418
nearest_semantic,0,0,1260926274,local_070,2.1991294680640814,1.5416776532259857,-0.6574518148380957,0.6574518148380957,True,-1.0891517024504043,4.172507008902375,True,2.63082935567639
global_mean,0,0,1260926274,local_070,2.1991294680640814,1.4643154933185543,-0.7348139747455271,0.7348139747455271,True,0.4131526249032429,2.515478361733866,True,1.0511628684153114
atlas,0,0,1260926274,local_091,2.9606815474444153,3.065355524244856,0.10467397680044055,0.10467397680044055,True,0.245381281967747,5.885329766521965,True,2.819974242277109
atlas_no_rejection,0,0,1260926274,local_091,2.9606815474444153,3.065355524244856,0.10467397680044055,0.10467397680044055,True,0.42806473979243265,5.702646308697279,True,2.637290784452423
semantic_forced,0,0,1260926274,local_091,2.9606815474444153,2.4677735925168167,-0.49290795492759854,0.49290795492759854,True,1.0520982865966557,3.8834488984369777,True,1.415675305920161
nearest_semantic,0,0,1260926274,local_091,2.9606815474444153,2.4753185280143444,-0.4853630194300709,0.4853630194300709,True,-1.4299923375802281,6.380629393608917,True,3.9053108655945725
global_mean,0,0,1260926274,local_091,2.9606815474444153,1.4643154933185543,-1.496366054125861,1.496366054125861,True,0.22136826174851,2.7072627248885985,False,1.2429472315700443
atlas,0,0,1260926274,local_095,-0.6319926675649787,-0.7597979850250842,-0.12780531746010548,0.12780531746010548,True,-2.9066018183424536,1.387005848292285,True,2.146803833317369
atlas_no_rejection,0,0,1260926274,local_095,-0.6319926675649787,-0.7597979850250842,-0.12780531746010548,0.12780531746010548,True,-2.7926099579507255,1.2730139879005569,True,2.032811972925641
semantic_forced,0,0,1260926274,local_095,-0.6319926675649787,0.07795629262234269,0.7099489601873215,0.7099489601873215,True,-0.7955870903006205,0.9514996755453059,True,0.8735433829229632
nearest_semantic,0,0,1260926274,local_095,-0.6319926675649787,1.9529419112666955,2.584934578831674,2.584934578831674,True,-0.9321710880769531,4.838054910610344,True,2.8851129993436486
global_mean,0,0,1260926274,local_095,-0.6319926675649787,1.4643154933185543,2.096308160883533,2.096308160883533,True,0.5630811975669113,2.3655497890701973,False,0.9012342957516429
atlas,0,0,1260926274,local_096,3.861732006597601,1.9114638552284033,-1.9502681513691977,1.9502681513691977,True,-0.20025263404778149,4.023180344504588,True,2.111716489276185
