scenario_key,scenario_label,repetitions,seed_batches,rejected_repetitions,rejection_rate,rejection_ci_lower,rejection_ci_upper,partial_id_nonempty_rate,partial_id_coverage,partial_id_coverage_on_rejected,mean_partial_id_width,mean_partial_id_width_on_rejected,mean_reference_width_on_rejected,mean_width_reduction_fraction_on_rejected,mean_oracle_hull_distance,mean_nonidentification_separation,between_seed_partial_coverage_sd,seed_batch,base_seed
nominal,nominal support,100,1,48,0.48,0.38464384320080547,0.5768359490982345,1.0,1.0,1.0,3.624699066114188,3.624699066114188,3.7709280157556706,0.037661733798984375,6.06917151722099e-07,1.5840537659946787e-06,,0,20260911
nominal,nominal support,100,1,51,0.51,0.4134784047743415,0.6057816990761385,1.0,1.0,1.0,3.6532072278346504,3.6532072278346504,3.7431722692823453,0.023687219498785626,4.371780510631779e-06,1.1410347132748938e-05,,1,20260912
nominal,nominal support,100,1,56,0.56,0.4622792771125631,0.6532813459903167,1.0,1.0,1.0,3.658351929761794,3.658351929761794,3.743165874654963,0.022064271059394205,1.4284852375047183e-05,3.728346469887315e-05,,2,20260913
moderate_mismatch,moderate semantic mismatch,100,1,73,0.73,0.6356769977376873,0.8073053908233518,1.0,1.0,1.0,4.057264722199847,4.057264722199847,4.369829916429841,0.06498016073109696,0.13494187296721794,0.3521982884444389,,0,20260911
moderate_mismatch,moderate semantic mismatch,100,1,76,0.76,0.6676748127670786,0.8330878873454004,1.0,1.0,1.0,4.13417979818743,4.13417979818743,4.36379348557508,0.04785367839493571,0.140593934597227,0.36695016929876245,,1,20260912
moderate_mismatch,moderate semantic mismatch,100,1,84,0.84,0.7557955544110557,0.8990479765052628,1.0,1.0,1.0,4.090968082362808,4.090968082362808,4.299608914464126,0.04278375681744303,0.12202336030689802,0.31848097040100387,,2,20260913
strong_mismatch,strong semantic mismatch,100,1,99,0.99,0.9455124752390653,0.9982326134344526,1.0,1.0,1.0,5.551170208830657,5.551170208830657,6.339996933906823,0.1139393641766587,0.6429501711870051,1.6780999467980837,,0,20260911
strong_mismatch,strong semantic mismatch,100,1,97,0.97,0.915479219195973,0.9897456617765851,1.0,1.0,1.0,5.712390605406484,5.712390605406484,6.561431831833761,0.12089102449345003,0.6598756954355683,1.7222755650868329,,1,20260912
strong_mismatch,strong semantic mismatch,100,1,96,0.96,0.9016278276739262,0.984336949448152,1.0,1.0,1.0,5.762906503131309,5.762906503131309,6.553384581512947,0.1080001647697471,0.638588022262582,1.6667147381053389,,2,20260913
severe_mismatch,severe semantic mismatch,100,1,100,1.0,0.9630051925239981,1.0,1.0,1.0,1.0,7.00214044390894,7.00214044390894,7.9535543824875194,0.1103969415476465,0.9940217692312268,2.5879441641494436,,0,20260911
severe_mismatch,severe semantic mismatch,100,1,99,0.99,0.9455124752390653,0.9982326134344526,1.0,1.0,1.0,7.116480121204975,7.116480121204975,8.163154686805843,0.11880366984614803,1.0108114040232639,2.6365976729778318,,1,20260912
severe_mismatch,severe semantic mismatch,100,1,98,0.98,0.9299868370580063,0.9944981477650318,1.0,1.0,1.0,7.110562302163718,7.110562302163718,8.08731535039494,0.10834371155012788,0.9874646719052269,2.5684032836328123,,2,20260913
